,Result: # Ballots,Result: Median OP,Result: Received OP,Meta: Project Name,Funding: Governance Fund,Funding: Other,Funding: Partner Fund,Funding: RPGF1,Funding: RPGF2,Funding: Revenue,OSO: # GitHub Repos,OSO: Date First Commit,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: # OP Contracts,OSO: Date First Txn,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Txns,OSO: Total Txn Fees (ETH),OSO: Txn Fees Last 6 Months (ETH),OSO: # NPM Packages,OSO: Date First Download,OSO: Total Downloads,OSO: Downloads Last 6 Months,OSO: Has Profile
0,95,668000.0,663853.62,Protocol Guild,0,1,0,0,1,0,275.0,2013-12-19,43809.0,18669.0,16072.0,1356.0,45.833333333333336,0.0,,0.0,0.0,,,,0.0,,,,1
1,101,500000.0,496896.42,go-ethereum,0,0,0,0,1,0,1.0,2013-12-26,43809.0,18669.0,4961.0,354.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
2,109,425000.0,422361.96,Solidity,0,1,0,1,1,0,1.0,2014-01-03,21055.0,5504.0,1834.0,108.0,2.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
3,92,341666.5,339545.72,Erigon,0,0,0,0,1,0,14.0,2013-03-26,2609.0,814.0,978.0,181.0,5.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
4,107,300000.0,298137.85,ethers.js,0,0,0,1,1,0,29.0,2016-05-03,7095.0,1714.0,1799.0,161.0,1.1666666666666667,0.0,,0.0,0.0,,,,1.0,2017-04-05,115250426.0,27880694.0,1
7,101,282000.0,280249.58,Hardhat,0,0,0,0,0,0,2.0,2018-05-25,6250.0,1254.0,1436.0,168.0,4.166666666666667,0.0,,0.0,0.0,,,,2.0,2015-02-27,24162682.0,7590838.0,1
9,90,255434.5,253848.98,ETHGlobal,0,0,0,1,1,0,8.0,2018-09-18,8.0,6.0,33.0,4.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
10,97,250000.0,248448.21,Vyper,0,0,0,0,1,0,10.0,2016-11-11,4662.0,831.0,446.0,30.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
11,93,250000.0,248448.21,DefiLlama,1,1,0,0,1,0,45.0,2020-11-14,696.0,3560.0,2955.0,821.0,14.0,10.0,2022-04-26,37463.0,29613.0,140685.0,0.2389358917192943,0.2366777147556025,0.0,,,,1
12,93,250000.0,248448.21,OpenZeppelin Contracts,0,0,0,0,1,0,93.0,2015-07-10,23083.0,11633.0,2271.0,193.0,7.5,0.0,,0.0,0.0,,,,10.0,2019-07-26,46352292.0,16588791.0,1
14,90,250000.0,248448.21,Web3js,0,1,0,0,0,0,6.0,2014-10-22,17967.0,4966.0,1971.0,128.0,0.1666666666666666,0.0,,0.0,0.0,,,,1.0,2015-04-07,87175055.0,14028283.0,1
15,87,250000.0,248448.21,Dappnode,1,0,0,0,0,0,180.0,2015-12-14,540.0,101.0,398.0,57.0,6.166666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
16,85,250000.0,248448.21,Account Abstraction - ERC-4337,0,1,0,0,1,0,1.0,2021-07-25,1131.0,462.0,94.0,32.0,0.3333333333333333,1.0,2023-04-22,309.0,308.0,381459.0,19.498027954601216,19.498026700431215,0.0,,,,1
19,88,229024.5,227602.91,🏰 BuidlGuidl,0,0,0,0,1,0,63.0,2018-08-14,8906.0,4077.0,297.0,105.0,3.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
20,77,227272.0,225861.29,IPFS,0,1,0,0,0,0,546.0,2013-12-04,22308.0,3078.0,4496.0,384.0,19.666666666666668,0.0,,0.0,0.0,,,,0.0,,,,1
21,94,225000.0,223603.39,beaconcha.in,0,1,0,0,1,1,4.0,2019-11-25,683.0,412.0,349.0,64.0,6.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
22,93,221130.22,219757.63,Ethereum Attestation Service,1,0,0,0,0,0,9.0,2020-10-03,144.0,24.0,48.0,36.0,2.0,2.0,2023-07-28,8378.0,8378.0,16492.0,0.4066812536822307,0.4066812536822307,0.0,,,,1
24,99,200000.0,198758.57,L2BEAT 💗,1,1,0,0,1,0,10.0,2020-05-05,383.0,232.0,197.0,69.0,5.833333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
25,89,200000.0,198758.57,revm,0,0,0,0,0,0,1.0,2021-10-26,,,108.0,53.0,1.0,0.0,,0.0,0.0,,,,0.0,,,,1
26,88,200000.0,198758.57,Wagmi / Viem,0,1,0,0,1,0,11.0,2021-11-23,,,1067.0,474.0,2.5,0.0,,0.0,0.0,,,,7.0,2021-11-04,29557191.0,19013062.0,1
27,87,200000.0,198758.57,Blockscout Block Explorer,1,0,0,0,1,0,18.0,2018-01-16,2752.0,1837.0,2118.0,352.0,12.166666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
30,77,200000.0,198758.57,Sourcify,0,1,0,0,1,0,13.0,2019-04-24,649.0,339.0,176.0,50.0,4.166666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
32,68,196500.0,195280.29,Lattice (OPCraft & MUD),0,1,0,0,1,0,20.0,2021-09-04,528.0,129.0,122.0,63.0,3.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
33,78,177500.0,176398.23,Gitcoin,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,0
34,99,171429.0,170364.91,Otterscan,0,1,0,0,1,0,6.0,2021-07-01,1028.0,141.0,41.0,13.0,2.1666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
36,93,150000.0,149068.93,rotki,1,1,0,1,1,0,19.0,2017-05-09,2361.0,445.0,460.0,51.0,7.666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
38,78,150000.0,149068.93,Giveth,1,1,0,1,1,0,108.0,2014-08-07,650.0,305.0,366.0,42.0,8.5,0.0,,0.0,0.0,,,,0.0,,,,1
41,70,137500.0,136646.52,TrueBlocks / Unchained Index,0,1,0,0,1,0,31.0,2016-08-14,962.0,179.0,175.0,22.0,2.0,0.0,,0.0,0.0,,,,0.0,,,,1
43,53,130000.0,129193.07,Immunefi,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
44,63,128713.0,127914.06,Open Source Observer,1,1,0,0,0,0,4.0,2023-07-28,9.0,1.0,5.0,5.0,1.3333333333333333,0.0,,0.0,0.0,,,,1.0,2023-08-08,6477.0,6477.0,1
45,75,125000.0,124224.11,Ethereum Cat Herders,0,1,0,0,0,0,13.0,2015-10-27,12091.0,5179.0,1371.0,251.0,1.1666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
46,62,125000.0,124224.11,Department of Decentralization,0,1,0,0,1,0,2.0,2018-09-07,,,159.0,65.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
47,55,125000.0,124224.11,TypeChain / DethCode,0,0,0,0,1,0,2.0,2017-08-27,2634.0,347.0,352.0,24.0,0.0,0.0,,0.0,0.0,,,,1.0,2017-09-02,21961507.0,7221914.0,1
48,79,124313.0,123541.37,Frame,0,0,0,1,1,0,1.0,2018-03-09,955.0,137.0,199.0,29.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
49,68,122500.0,121739.62,Slither,0,0,0,0,1,0,1.0,2018-09-05,4599.0,860.0,512.0,76.0,2.5,0.0,,0.0,0.0,,,,0.0,,,,1
51,57,114999.0,114285.18,Small Brain Games,0,0,0,0,1,1,10.0,2022-11-16,56.0,3.0,14.0,10.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
52,57,110000.0,109317.21,CharmVerse,0,0,0,0,0,0,2.0,2022-01-05,,,19.0,10.0,6.666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
