,Result: # Ballots,Result: Received OP,OSO: # GitHub Repos,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Downloads,OSO: Downloads Last 6 Months
0,95,663853.62,275.0,43809.0,18669.0,16072.0,1356.0,45.833333333333336,0.0,0.0,0.0,0.0
1,101,496896.42,1.0,43809.0,18669.0,4961.0,354.0,1.5,0.0,0.0,0.0,0.0
2,109,422361.96,1.0,21055.0,5504.0,1834.0,108.0,2.6666666666666665,0.0,0.0,0.0,0.0
3,92,339545.72,14.0,2609.0,814.0,978.0,181.0,5.333333333333333,0.0,0.0,0.0,0.0
4,107,298137.85,29.0,7095.0,1714.0,1799.0,161.0,1.1666666666666667,0.0,0.0,115250426.0,27880694.0
7,101,280249.58,2.0,6250.0,1254.0,1436.0,168.0,4.166666666666667,0.0,0.0,24162682.0,7590838.0
9,90,253848.98,8.0,8.0,6.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0
10,97,248448.21,10.0,4662.0,831.0,446.0,30.0,1.5,0.0,0.0,0.0,0.0
11,93,248448.21,45.0,696.0,3560.0,2955.0,821.0,14.0,37463.0,29613.0,0.0,0.0
12,93,248448.21,93.0,23083.0,11633.0,2271.0,193.0,7.5,0.0,0.0,46352292.0,16588791.0
14,90,248448.21,6.0,17967.0,4966.0,1971.0,128.0,0.1666666666666666,0.0,0.0,87175055.0,14028283.0
15,87,248448.21,180.0,540.0,101.0,398.0,57.0,6.166666666666667,0.0,0.0,0.0,0.0
16,85,248448.21,1.0,1131.0,462.0,94.0,32.0,0.3333333333333333,309.0,308.0,0.0,0.0
19,88,227602.91,63.0,8906.0,4077.0,297.0,105.0,3.6666666666666665,0.0,0.0,0.0,0.0
20,77,225861.29,546.0,22308.0,3078.0,4496.0,384.0,19.666666666666668,0.0,0.0,0.0,0.0
21,94,223603.39,4.0,683.0,412.0,349.0,64.0,6.333333333333333,0.0,0.0,0.0,0.0
22,93,219757.63,9.0,144.0,24.0,48.0,36.0,2.0,8378.0,8378.0,0.0,0.0
24,99,198758.57,10.0,383.0,232.0,197.0,69.0,5.833333333333333,0.0,0.0,0.0,0.0
25,89,198758.57,1.0,0.0,0.0,108.0,53.0,1.0,0.0,0.0,0.0,0.0
